Id;Marker;Active;Origin;End
0;0;1;0;1
1;0;1;1;2
2;0;1;3;4
3;0;1;4;1
4;0;1;1;5
5;0;1;5;6
6;0;1;7;8
7;0;1;8;1
8;0;1;1;9
9;0;1;9;10
10;0;1;11;3
11;0;1;4;11
12;0;1;1;12
13;0;1;4;12
14;0;1;12;3
15;0;1;12;2
16;0;1;12;13
17;0;1;2;13
18;1;1;14;3
19;0;1;11;14
20;0;1;11;15
21;0;1;14;15
22;0;1;16;11
23;0;1;15;16
24;0;1;18;17
25;0;1;19;18
26;0;1;17;19
27;0;1;20;21
28;0;1;22;21
29;0;1;20;22
30;0;1;2;23
31;0;1;23;1
32;0;1;24;6
33;0;1;24;5
34;0;1;18;24
35;0;1;5;18
36;0;1;2;25
37;0;1;25;13
38;0;1;1;26
39;0;1;26;0
40;0;1;0;22
41;0;1;22;1
42;0;1;25;23
43;0;1;23;6
44;0;1;5;23
45;0;1;5;26
46;0;1;26;18
47;0;1;17;26
48;0;1;17;0
49;1;1;27;13
50;0;1;27;12
51;0;1;28;6
52;1;1;6;29
53;0;1;29;28
54;1;1;3;30
55;0;1;12;30
56;1;1;13;31
57;0;1;25;31
58;0;1;32;33
59;1;1;33;34
60;0;1;34;32
61;0;1;34;35
62;0;1;35;32
63;0;1;28;24
64;0;1;35;28
65;0;1;24;35
66;0;1;36;37
67;1;1;37;27
68;0;1;27;36
69;0;1;12;36
70;1;1;30;37
71;0;1;36;30
72;1;1;38;39
73;0;1;40;39
74;0;1;40;38
75;0;1;16;40
76;0;1;16;38
77;0;1;15;39
78;0;1;15;40
79;0;1;41;42
80;1;1;42;43
81;0;1;43;41
82;0;1;43;25
83;0;1;25;41
84;0;1;35;44
85;0;1;44;32
86;0;1;44;29
87;0;1;32;29
88;1;1;45;33
89;0;1;32;45
90;1;1;29;45
91;0;1;21;46
92;0;1;20;46
93;0;1;47;20
94;1;1;20;38
95;0;1;38;47
96;0;1;16;47
97;0;1;18;48
98;0;1;48;19
99;1;1;34;19
100;0;1;19;49
101;0;1;49;34
102;0;1;49;35
103;1;1;0;50
104;0;1;50;22
105;1;1;50;20
106;1;1;39;51
107;0;1;51;15
108;1;1;51;14
109;1;1;52;0
110;0;1;17;52
111;1;1;19;52
112;0;1;21;53
113;0;1;53;22
114;0;1;53;1
115;0;1;28;44
116;1;1;43;6
117;0;1;6;54
118;0;1;54;43
119;0;1;54;25
120;1;1;31;42
121;0;1;41;31
122;0;1;55;11
123;0;1;16;55
124;0;1;46;16
125;0;1;46;47
126;0;1;24;48
127;0;1;48;35
128;0;1;49;48
129;0;1;53;4
130;0;1;4;21
131;0;1;23;54
132;0;1;21;55
133;0;1;46;55
134;0;1;55;4
135;0;1;56;57
136;0;1;57;58
137;0;1;56;58
138;0;1;59;1
139;0;1;8;59
140;0;1;60;7
141;0;1;8;60
142;0;1;59;60
143;1;1;7;61
144;0;1;8;61
145;0;1;8;2
146;1;1;61;2
147;0;1;59;62
148;0;1;63;59
149;0;1;62;63
150;0;1;62;60
151;1;1;64;56
152;0;1;64;58
153;1;1;65;66
154;0;1;62;66
155;0;1;62;65
156;1;1;63;65
157;1;1;67;7
158;0;1;60;67
159;0;1;57;68
160;0;1;68;58
161;0;1;69;66
162;0;1;69;62
163;0;1;60;69
164;1;1;56;0
165;0;1;70;0
166;0;1;70;56
167;0;1;57;70
168;0;1;0;71
169;1;1;0;63
170;0;1;63;71
171;0;1;71;59
172;0;1;2;9
173;0;1;68;10
174;0;1;68;9
175;0;1;9;57
176;1;1;66;67
177;0;1;67;69
178;0;1;1;72
179;0;1;72;0
180;0;1;71;1
181;1;1;73;10
182;0;1;9;73
183;1;1;2;73
184;0;1;9;72
185;0;1;72;57
186;0;1;70;72
187;1;1;74;75
188;0;1;76;75
189;0;1;76;74
190;0;1;58;76
191;0;1;58;74
192;0;1;77;10
193;1;1;10;74
194;0;1;74;77
195;0;1;58;77
196;0;1;77;68
197;1;1;75;64
198;0;1;64;76
199;0;1;78;1
200;0;1;78;4
201;0;1;8;78
202;0;1;1;79
203;0;1;8;79
204;0;1;79;5
205;0;1;6;80
206;0;1;80;5
207;0;1;80;1
208;1;1;81;10
209;0;1;80;10
210;0;1;80;81
211;1;1;82;83
212;0;1;83;84
213;0;1;82;84
214;0;1;85;86
215;1;1;86;87
216;0;1;85;87
217;1;1;83;7
218;0;1;88;7
219;0;1;88;83
220;0;1;89;7
221;1;1;7;86
222;0;1;86;89
223;0;1;84;90
224;1;1;90;91
225;0;1;84;91
226;0;1;10;92
227;1;1;10;93
228;0;1;93;92
229;1;1;94;95
230;0;1;95;85
231;0;1;94;85
232;0;1;9;80
233;0;1;92;4
234;0;1;92;1
235;0;1;8;88
236;0;1;78;88
237;0;1;89;8
238;0;1;79;89
239;0;1;92;9
240;0;1;4;96
241;0;1;92;96
242;0;1;96;93
243;1;1;6;97
244;0;1;97;80
245;1;1;97;81
246;0;1;96;3
247;1;1;93;3
248;0;1;3;98
249;1;1;3;90
250;0;1;90;98
251;0;1;99;100
252;1;1;100;82
253;0;1;82;99
254;0;1;84;99
255;1;1;87;101
256;0;1;102;101
257;0;1;102;87
258;0;1;85;102
259;0;1;78;84
260;0;1;103;78
261;0;1;103;84
262;0;1;90;103
263;1;1;95;6
264;0;1;104;6
265;0;1;104;95
266;0;1;105;79
267;0;1;79;85
268;0;1;85;105
269;0;1;95;105
270;0;1;79;106
271;0;1;106;85
272;0;1;106;86
273;0;1;78;107
274;0;1;84;107
275;0;1;107;83
276;0;1;98;4
277;0;1;98;78
278;1;1;91;100
279;0;1;99;91
280;1;1;101;94
281;0;1;94;102
282;0;1;98;103
283;0;1;5;104
284;0;1;79;104
285;0;1;105;104
286;0;1;89;106
287;0;1;107;88
